demo,pc_index,explained_var_ratio,loss,init_entropy,final_entropy,final_circ_std_bins,target_entropy,target_circ_std_bins,loss_broad_perbin,loss_sharp_perbin,frac_increase_sharp_over_broad,entropy_lambda,mean_perbin_entropy,trial_entropy,trial_circ_std_bins,target,final_far_mode_mass,target_far_mode_mass,candidate,PCA,KL,JS,Wasserstein,cand_entropy,cand_sigma,cand_shift_bins
basis,0,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,1,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,2,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,3,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,4,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,5,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,6,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,7,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,8,3.4649572626221925e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,9,3.46495580743067e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,10,4.950433662997966e-07,,,,,,,,,,,,,,,,,,,,,,,,
basis,11,4.950432526129589e-07,,,,,,,,,,,,,,,,,,,,,,,,
scorecard,,,,,,,,,,,,,,,,skewed,,,symmetric broad,0.10677635571060624,0.24398207664489746,0.06624102592468262,7.551340103149414,3.90255723742233,,
scorecard,,,,,,,,,,,,,,,,skewed,,,shifted +6,0.0950678207660798,0.22700953483581543,0.045502543449401855,5.792699813842773,3.783965451981963,,
scorecard,,,,,,,,,,,,,,,,skewed,,,uniform,0.4782023237871585,0.7268922328948975,0.20370042324066162,14.492844581604004,4.510859506425849,,
width_sweep,,,,,,,,,,,,,,,,,,,,0.22075530555763193,5.708377361297607,0.3406386375427246,,,2.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.19371054156800063,3.668585777282715,0.25343072414398193,,,3.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.16122915792062015,2.255340576171875,0.18645036220550537,,,4.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.12698868573861694,1.335927963256836,0.13392746448516846,,,5.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.09412301390660054,0.7646145820617676,0.09268558025360107,,,6.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.06491191906616252,0.420107364654541,0.06071877479553223,,,7.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.04074742129255183,0.21686077117919922,0.03663146495819092,,,8.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.02226559801370471,0.10028076171875,0.0193631649017334,,,9.0,
